# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Fri Apr  8 14:41:56 CEST 2022
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.01520		Age = 	3.000e+08 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	8.48	3.23220086	3.2258	2.1175	3.7190	2.6511	-0.524	0.958	0.498	-0.364	-0.829	-1.226	-1.775	-2.208	-2.259	3.30799460	          
	8.48	3.23258615	3.2261	2.0893	3.7066	2.6296	-0.453	1.229	0.678	-0.249	-0.742	-1.161	-1.751	-2.219	-2.274	3.30800104	 RGBb     
	8.48	3.23321342	3.2267	2.1530	3.6909	2.5033	-0.612	1.348	0.665	-0.342	-0.872	-1.320	-1.965	-2.478	-2.540	3.30801153	          
	8.48	3.23375702	3.2273	2.2308	3.6823	2.3912	-0.807	1.324	0.557	-0.496	-1.048	-1.511	-2.188	-2.726	-2.792	3.30802059	          
	8.48	3.23434329	3.2278	2.2975	3.6762	2.3000	-0.974	1.282	0.453	-0.634	-1.201	-1.676	-2.375	-2.931	-3.000	3.30803037	          
	8.48	3.23506141	3.2285	2.3690	3.6701	2.2044	-1.152	1.232	0.341	-0.778	-1.360	-1.849	-2.571	-3.147	-3.220	3.30804229	          
	8.48	3.23581076	3.2292	2.4419	3.6644	2.1087	-1.335	1.175	0.224	-0.925	-1.523	-2.024	-2.770	-3.364	-3.441	3.30805469	          
	8.48	3.23646975	3.2298	2.5055	3.6595	2.0258	-1.494	1.124	0.121	-1.054	-1.666	-2.178	-2.942	-3.552	-3.632	3.30806565	          
	8.48	3.23717427	3.2304	2.5722	3.6548	1.9402	-1.660	1.069	0.010	-1.192	-1.816	-2.338	-3.122	-3.748	-3.830	3.30807734	          
	8.48	3.23784232	3.2310	2.6379	3.6498	1.8546	-1.825	1.025	-0.095	-1.326	-1.963	-2.496	-3.301	-3.942	-4.028	3.30808830	          
	8.48	3.23851275	3.2316	2.7058	3.6444	1.7652	-1.995	0.995	-0.193	-1.453	-2.107	-2.656	-3.483	-4.143	-4.233	3.30809951	          
	8.48	3.23915386	3.2320	2.7628	3.6405	1.6927	-2.137	0.957	-0.282	-1.565	-2.232	-2.791	-3.635	-4.308	-4.401	3.30811024	          
	8.48	3.23966622	3.2324	2.8002	3.6377	1.6444	-2.230	0.938	-0.338	-1.636	-2.312	-2.879	-3.734	-4.418	-4.513	3.30811858	 RGBt     
	8.48	3.24193692	3.2341	2.7390	3.6425	1.7248	-2.077	0.964	-0.249	-1.521	-2.181	-2.735	-3.570	-4.237	-4.328	3.30815625	          
	8.48	3.24469948	3.2362	2.6573	3.6488	1.8321	-1.873	1.002	-0.131	-1.367	-2.007	-2.543	-3.352	-3.996	-4.082	3.30820179	          
	8.48	3.24690199	3.2381	2.5705	3.6557	1.9467	-1.656	1.054	0.003	-1.194	-1.815	-2.335	-3.116	-3.737	-3.820	3.30823803	          
	8.48	3.24881530	3.2398	2.4888	3.6621	2.0541	-1.452	1.112	0.134	-1.028	-1.633	-2.139	-2.893	-3.495	-3.573	3.30826950	          
	8.48	3.25056672	3.2414	2.4194	3.6676	2.1458	-1.278	1.164	0.245	-0.888	-1.478	-1.972	-2.704	-3.288	-3.362	3.30829835	          
	8.48	3.25246215	3.2431	2.3539	3.6728	2.2324	-1.115	1.214	0.349	-0.757	-1.332	-1.814	-2.526	-3.092	-3.164	3.30832934	          
	8.48	3.25459862	3.2451	2.2955	3.6777	2.3107	-0.969	1.257	0.442	-0.637	-1.200	-1.672	-2.365	-2.916	-2.985	3.30836439	          
	8.48	3.25710988	3.2475	2.2486	3.6820	2.3751	-0.852	1.286	0.515	-0.540	-1.092	-1.556	-2.233	-2.772	-2.838	3.30840540	          
	8.48	3.26102042	3.2513	2.2027	3.6871	2.4418	-0.737	1.300	0.579	-0.449	-0.988	-1.443	-2.102	-2.626	-2.689	3.30846906	          
	8.48	3.26963615	3.2596	2.1648	3.6956	2.5147	-0.642	1.234	0.590	-0.394	-0.913	-1.352	-1.979	-2.478	-2.537	3.30860877	 BHeb     
	8.48	3.30133367	3.2902	2.2255	3.7024	2.4853	-0.794	0.970	0.376	-0.576	-1.079	-1.505	-2.108	-2.586	-2.642	3.30911422	          
	8.48	3.34445453	3.3316	2.2841	3.7038	2.4379	-0.940	0.806	0.218	-0.729	-1.228	-1.651	-2.249	-2.723	-2.779	3.30978084	          
	8.48	3.37940168	3.3650	2.3336	3.7051	2.3978	-1.064	0.668	0.084	-0.858	-1.354	-1.775	-2.369	-2.838	-2.894	3.31030416	 Te-M     
	8.48	3.46427846	3.4448	2.4142	3.6915	2.2731	-1.265	0.719	0.014	-1.001	-1.530	-1.975	-2.618	-3.125	-3.187	3.31151628	          
	8.48	3.48332763	3.4625	2.4765	3.6746	2.1451	-1.421	0.891	0.028	-1.076	-1.646	-2.124	-2.829	-3.388	-3.458	3.31177735	          
	8.48	3.48476028	3.4638	2.5336	3.6682	2.0626	-1.564	0.884	-0.043	-1.179	-1.767	-2.259	-2.989	-3.569	-3.644	3.31179690	          
	8.48	3.48490930	3.4639	2.5474	3.6668	2.0433	-1.598	0.880	-0.062	-1.205	-1.797	-2.292	-3.028	-3.612	-3.688	3.31179881	 EHeb     
	8.48	3.48507428	3.4641	2.6090	3.6610	1.9588	-1.752	0.853	-0.150	-1.324	-1.931	-2.439	-3.198	-3.801	-3.880	3.31180120	          
	8.48	3.48523283	3.4642	2.6616	3.6563	1.8871	-1.884	0.831	-0.226	-1.426	-2.046	-2.564	-3.343	-3.961	-4.043	3.31180334	          
	8.48	3.48884058	3.4670	2.8290	3.6426	1.6653	-2.303	0.755	-0.471	-1.748	-2.408	-2.961	-3.796	-4.461	-4.552	3.31185222	          
	8.48	3.48944426	3.4674	2.8778	3.6388	1.6014	-2.424	0.734	-0.542	-1.840	-2.512	-3.075	-3.927	-4.605	-4.699	3.31186032	          
	8.48	3.49004436	3.4677	2.9267	3.6350	1.5372	-2.547	0.715	-0.612	-1.932	-2.616	-3.190	-4.058	-4.750	-4.847	3.31186843	          
	8.48	3.49094677	3.4681	3.0049	3.6284	1.4330	-2.742	0.701	-0.717	-2.076	-2.780	-3.372	-4.269	-4.983	-5.085	3.31188083	          
